city,date,pm25,pm10,no2,aqi,vehicles_registered
Delhi,2019-01-01,127.7,234.3,26.5,341,3283728
Delhi,2019-02-01,125,287.3,41.9,358,3288654
Delhi,2019-03-01,95.9,168.2,46.6,267,3297862
Delhi,2019-04-01,69.3,151.1,38.2,203,3310394
Delhi,2019-05-01,45.4,107.7,41.9,144,3319001
Delhi,2019-06-01,41.7,87.9,41.5,131,3330949
Delhi,2019-07-01,31.3,50.5,35.2,96,3334613
Delhi,2019-08-01,36.6,59.8,51.7,118,3348285
Delhi,2019-09-01,50.2,98.7,45.9,153,3359334
Delhi,2019-10-01,63.2,127.8,35.2,183,3369748
Delhi,2019-11-01,97.2,165.1,49.1,270,3381879
Delhi,2019-12-01,117.1,202,35.3,314,3386614
Delhi,2020-01-01,128.2,231.1,38.7,347,3394403
Delhi,2020-02-01,95.3,188.1,52.6,274,3410017
Delhi,2020-03-01,84.3,196.2,41.9,249,3422634
Delhi,2020-04-01,150.9,285.7,44.5,412,3430848
Delhi,2020-05-01,61.2,140.8,33.1,181,3435651
Delhi,2020-06-01,36.5,73.7,33.2,112,3454891
Delhi,2020-07-01,36.9,62.5,34.6,110,3461801
Delhi,2020-08-01,33.7,79,47.9,115,3469071
Delhi,2020-09-01,60.1,139.5,28.7,177,3474968
Delhi,2020-10-01,77.2,159.5,51.4,229,3482960
Delhi,2020-11-01,101.1,187.4,50.2,285,3496544
Delhi,2020-12-01,93.8,205.3,49.3,274,3505285
Delhi,2021-01-01,97.8,213.3,42,281,3523162
Delhi,2021-02-01,99.8,219.7,36.9,285,3531265
Delhi,2021-03-01,108.2,192.8,40.2,296,3545743
Delhi,2021-04-01,76.1,129.9,48.6,217,3560990
Delhi,2021-05-01,53,107,36.5,157,3570605
Delhi,2021-06-01,43.3,75.4,27.9,124,3591315
Delhi,2021-07-01,36,70.3,41.5,114,3603885
Delhi,2021-08-01,38.1,87.5,39.8,123,3610732
Delhi,2021-09-01,48.8,88.4,46.5,148,3621925
Delhi,2021-10-01,65.4,131.7,46.5,194,3636775
Delhi,2021-11-01,81.4,169.4,47.8,238,3648413
Delhi,2021-12-01,98.1,227.5,39.3,284,3661547
Delhi,2022-01-01,119.6,231.2,43.1,331,3665209
Delhi,2022-02-01,115.5,191.4,50,315,3675838
Delhi,2022-03-01,83.1,198.7,51.4,252,3683557
Delhi,2022-04-01,66.4,149.7,43.4,200,3694976
Delhi,2022-05-01,51.5,108.7,39.5,156,3706430
Delhi,2022-06-01,41.6,85.3,35.5,127,3715696
Delhi,2022-07-01,32.1,56.7,51.4,107,3724242
Delhi,2022-08-01,37.7,90,37,121,3732808
Delhi,2022-09-01,52.8,84.6,31.7,148,3749232
Delhi,2022-10-01,67,117.9,50.3,196,3758980
Delhi,2022-11-01,91,210.4,34.4,263,3780782
Delhi,2022-12-01,121.1,206.6,35.2,324,3803089
Delhi,2023-01-01,116.1,268.1,32.4,329,3819062
Delhi,2023-02-01,118.5,270.4,45.1,341,3827464
Delhi,2023-03-01,100,160.3,34.8,267,3833971
Delhi,2023-04-01,70.4,115.4,47.7,201,3840872
Delhi,2023-05-01,47.7,92.3,38.5,143,3857772
Delhi,2023-06-01,34.1,56.6,50.5,111,3861630
Delhi,2023-07-01,36,81,38.7,116,3868967
Delhi,2023-08-01,36.3,69.9,46.5,117,3880187
Delhi,2023-09-01,51.4,107.6,41.7,156,3884455
Delhi,2023-10-01,84.3,184.9,45.1,247,3889116
Delhi,2023-11-01,107.6,210.3,40.7,300,3898061
Delhi,2023-12-01,99,161.4,29.5,263,3918331
Delhi,2024-01-01,126.1,282.9,45.6,361,3936747
Delhi,2024-02-01,108.9,236.5,48.5,314,3945802
Delhi,2024-03-01,85,195,40.1,249,3963164
Delhi,2024-04-01,64.1,150.3,45.1,196,3979017
Delhi,2024-05-01,53.3,127.8,40.6,165,3994535
Delhi,2024-06-01,40.3,93.7,51.2,134,4015706
Delhi,2024-07-01,38,84.7,42.8,123,4032572
Delhi,2024-08-01,32.4,61.9,29.5,98,4037411
Delhi,2024-09-01,59.8,132.2,28.8,174,4051138
Delhi,2024-10-01,62.5,142.3,50.5,193,4069368
Delhi,2024-11-01,79.3,184.7,32.3,231,4078728
Delhi,2024-12-01,111.2,233.6,33.6,310,4092596
Delhi,2025-01-01,98,209.4,44.2,282,4113468
Delhi,2025-02-01,103.9,172.5,31.6,277,4117993
Delhi,2025-03-01,104.6,192.3,38.3,287,4127464
Delhi,2025-04-01,63.2,106.3,36.4,178,4144387
Delhi,2025-05-01,56.3,100.1,31.8,159,4162208
Delhi,2025-06-01,42.5,100.2,30.3,130,4182187
Delhi,2025-07-01,37.7,66.2,35.7,114,4189715
Delhi,2025-08-01,32.3,74.7,30.5,102,4210664
Delhi,2025-09-01,58,127.5,38.4,174,4224138
Delhi,2025-10-01,73.5,121.6,38.4,204,4244836
Delhi,2025-11-01,100.7,210.8,40.9,286,4253750
Delhi,2025-12-01,123.9,267.3,33.9,346,4263534
Mumbai,2019-01-01,85.1,179.1,29.4,239,8091272
Mumbai,2019-02-01,78.5,147.8,38.2,221,8117164
Mumbai,2019-03-01,84.2,199.4,34.6,246,8135833
Mumbai,2019-04-01,59.2,104.9,24.8,163,8173258
Mumbai,2019-05-01,35.4,67.2,24.4,104,8219846
Mumbai,2019-06-01,25.4,49.9,32.3,82,8265055
Mumbai,2019-07-01,22.6,51.9,29.7,76,8289850
Mumbai,2019-08-01,28.5,57.8,23,86,8302285
Mumbai,2019-09-01,39.1,68.1,33.5,116,8348778
Mumbai,2019-10-01,65.9,115.2,27.3,181,8376329
Mumbai,2019-11-01,62.7,137.5,38.6,186,8403971
Mumbai,2019-12-01,77.7,156.5,29.7,218,8423300
Mumbai,2020-01-01,90.5,185.2,22.1,248,8472155
Mumbai,2020-02-01,71,132.8,28.9,197,8495877
Mumbai,2020-03-01,77.8,134.8,23.2,209,8534108
Mumbai,2020-04-01,64.5,133.8,28,184,8570805
Mumbai,2020-05-01,38.4,90.7,39.8,124,8621373
Mumbai,2020-06-01,33,58.2,30.4,99,8655858
Mumbai,2020-07-01,23.2,40.1,31.5,75,8678363
Mumbai,2020-08-01,28.2,60.7,24.2,87,8706134
Mumbai,2020-09-01,37.7,83.2,32.4,117,8735735
Mumbai,2020-10-01,55.6,132.1,26,164,8775919
Mumbai,2020-11-01,64.5,140.6,25.8,185,8818921
Mumbai,2020-12-01,71,139.7,31.6,200,8833913
Mumbai,2021-01-01,80.5,135.8,38.8,223,8845397
Mumbai,2021-02-01,73.9,164.8,26.3,211,8888739
Mumbai,2021-03-01,64.5,123,40.5,187,8913627
Mumbai,2021-04-01,57.4,133.4,25.4,168,8930563
Mumbai,2021-05-01,42.5,71.4,25.5,120,8979681
Mumbai,2021-06-01,25.2,51.3,22.7,77,9029069
Mumbai,2021-07-01,24.4,53.5,31,81,9055253
Mumbai,2021-08-01,31.9,53,38.4,99,9079702
Mumbai,2021-09-01,34.8,82.4,32.2,111,9103309
Mumbai,2021-10-01,55.8,114,33.5,163,9157019
Mumbai,2021-11-01,65.2,145.2,23.2,186,9194563
Mumbai,2021-12-01,95.9,198.6,24.4,264,9235019
Mumbai,2022-01-01,88.9,211.1,34.4,259,9249795
Mumbai,2022-02-01,95.3,228.6,36.4,278,9294194
Mumbai,2022-03-01,83.7,165.4,23.1,229,9323935
Mumbai,2022-04-01,50.3,102.6,24.1,144,9378946
Mumbai,2022-05-01,36.8,75.8,29.2,111,9433344
Mumbai,2022-06-01,29.1,62.2,30.3,92,9453154
Mumbai,2022-07-01,22.3,48.4,26,72,9463552
Mumbai,2022-08-01,31,71.8,34.6,101,9482479
Mumbai,2022-09-01,35,76.6,30.1,108,9518512
Mumbai,2022-10-01,53.1,120.5,38.1,162,9566105
Mumbai,2022-11-01,73.5,122.8,32.5,201,9618719
Mumbai,2022-12-01,95.5,187.6,29,263,9641804
Mumbai,2023-01-01,88.2,144,39.8,241,9655303
Mumbai,2023-02-01,74.3,132.6,36.2,208,9665924
Mumbai,2023-03-01,71.8,116.6,38,199,9688156
Mumbai,2023-04-01,55.9,133.9,34.3,169,9699782
Mumbai,2023-05-01,41.8,88.2,22.1,121,9728881
Mumbai,2023-06-01,25.5,53.2,26.4,80,9778498
Mumbai,2023-07-01,28.6,56,28.2,88,9807833
Mumbai,2023-08-01,28.7,53.3,32.1,90,9858834
Mumbai,2023-09-01,46.7,93.4,28.7,136,9914043
Mumbai,2023-10-01,63.5,129.4,23.5,178,9923957
Mumbai,2023-11-01,62.6,114.8,29.6,175,9965638
Mumbai,2023-12-01,88.6,201.5,29.2,253,10011480
Mumbai,2024-01-01,80.3,149.9,37.6,225,10027498
Mumbai,2024-02-01,96.9,232.4,32.6,280,10082649
Mumbai,2024-03-01,64.9,122.2,26.3,180,10118947
Mumbai,2024-04-01,62.2,112.9,28.1,173,10152340
Mumbai,2024-05-01,45.1,76.9,29,128,10213254
Mumbai,2024-06-01,34.3,69.2,38.8,109,10233681
Mumbai,2024-07-01,24.1,41.8,24.7,73,10265405
Mumbai,2024-08-01,32,73.2,29.4,101,10311599
Mumbai,2024-09-01,41.4,73.4,23.9,117,10366250
Mumbai,2024-10-01,63.7,129.4,35.5,184,10421191
Mumbai,2024-11-01,66.7,140.7,30.8,191,10461834
Mumbai,2024-12-01,91.9,153.1,25.8,244,10501589
Mumbai,2025-01-01,78.6,172.6,38,228,10522592
Mumbai,2025-02-01,90.8,199.6,22.9,254,10557317
Mumbai,2025-03-01,83.8,174.7,32.7,237,10572097
Mumbai,2025-04-01,55.4,111.6,40.3,165,10603813
Mumbai,2025-05-01,39,81.2,33.1,119,10650470
Mumbai,2025-06-01,25.2,43.1,35.2,81,10669641
Mumbai,2025-07-01,28.7,56.9,26.4,88,10727257
Mumbai,2025-08-01,29.4,55,28.9,90,10739057
Mumbai,2025-09-01,47.2,76.9,25.8,131,10786309
Mumbai,2025-10-01,56.4,129.5,29.6,167,10807882
Mumbai,2025-11-01,61.1,101.6,36.1,172,10844629
Mumbai,2025-12-01,94.1,193.8,32.2,263,10904274
Kolkata,2019-01-01,59.4,105.1,24.3,163,5673595
Kolkata,2019-02-01,66.9,111.4,21.3,179,5685510
Kolkata,2019-03-01,42.4,86.1,16.1,119,5706546
Kolkata,2019-04-01,45.5,85.1,22.7,129,5735079
Kolkata,2019-05-01,30.4,53.8,14.9,85,5749417
Kolkata,2019-06-01,21.3,35.2,21.3,64,5763216
Kolkata,2019-07-01,17.3,34.1,17.2,54,5784540
Kolkata,2019-08-01,19.3,41.7,15.4,59,5818669
Kolkata,2019-09-01,26.3,59.9,26.4,84,5827979
Kolkata,2019-10-01,43.9,83.1,16.6,121,5855953
Kolkata,2019-11-01,51.4,104.1,26,148,5867079
Kolkata,2019-12-01,64.8,135.2,22.1,182,5874706
Kolkata,2020-01-01,53.5,104,16.9,147,5885868
Kolkata,2020-02-01,120,275,18.8,332,5915886
Kolkata,2020-03-01,54.7,93.4,27.3,152,5950198
Kolkata,2020-04-01,37.7,73.7,21.4,109,5973999
Kolkata,2020-05-01,26.8,45.6,21.4,78,5990129
Kolkata,2020-06-01,21.5,48,16.3,66,6003307
Kolkata,2020-07-01,17.3,34.2,17.6,54,6036325
Kolkata,2020-08-01,18.8,41.7,28,64,6047794
Kolkata,2020-09-01,31.2,67.1,14.6,90,6070171
Kolkata,2020-10-01,36.4,66.1,15.2,101,6076241
Kolkata,2020-11-01,53.7,86.6,14.3,141,6091432
Kolkata,2020-12-01,54.1,112.1,16.8,151,6101787
Kolkata,2021-01-01,62.2,125.4,20.1,173,6126194
Kolkata,2021-02-01,60.3,126.3,26,172,6161726
Kolkata,2021-03-01,43.1,79.1,23.1,122,6188221
Kolkata,2021-04-01,36.3,73.7,19,105,6209880
