district,month,calls,avg_response_min,p90_response_min,vehicles,hotspot_index
Pune,2019-01,5914,18.3,31.6,40,99.4
Pune,2019-02,5834,18.2,29.3,40,100
Pune,2019-03,5439,18.7,31.1,40,90.7
Pune,2019-04,5773,19.6,30.4,40,100
Pune,2019-05,5882,21,36.6,40,100
Pune,2019-06,6207,18,33.9,40,96.1
Pune,2019-07,6189,20.8,33.9,40,99.3
Pune,2019-08,6652,21,36.4,40,100
Pune,2019-09,6792,21.1,36.4,40,100
Pune,2019-10,6518,19.8,35.2,40,100
Pune,2019-11,6560,17.6,30.8,40,100
Pune,2019-12,6130,20.8,32.9,40,94.1
Pune,2020-01,6340,19.8,31.9,40,100
Pune,2020-02,5694,16.6,29.7,40,95.6
Pune,2020-03,6021,17.8,28.7,40,100
Pune,2020-04,6064,20.1,37.9,40,97.6
Pune,2020-05,5956,21.3,37.8,40,100
Pune,2020-06,6407,19.3,33.7,40,100
Pune,2020-07,7006,23,40,40,100
Pune,2020-08,6652,21.5,38.8,40,100
Pune,2020-09,7261,20.7,34.5,40,100
Pune,2020-10,6778,21.4,34.1,40,100
Pune,2020-11,6534,20.1,38.1,40,100
Pune,2020-12,6546,20.3,32.6,40,100
Pune,2021-01,6255,20.2,33.8,40,100
Pune,2021-02,6115,20.7,35.8,40,100
Pune,2021-03,6227,17.3,32,40,100
Pune,2021-04,5854,19.5,35,40,100
Pune,2021-05,5880,19,32.8,40,92.3
Pune,2021-06,6362,19.6,31.3,40,100
Pune,2021-07,6543,21.2,41,41,100
Pune,2021-08,7091,34.7,54,41,100
Pune,2021-09,6733,21.2,41,41,100
Pune,2021-10,6986,21.1,38.1,41,100
Pune,2021-11,6653,21.1,34,41,100
Pune,2021-12,6633,21.5,34.6,41,100
Pune,2022-01,6627,23.6,45.3,41,100
Pune,2022-02,6372,22.2,41.2,41,100
Pune,2022-03,6040,19.5,35.8,41,100
Pune,2022-04,6075,19.1,31.8,41,98.8
Pune,2022-05,6523,19,35.1,41,100
Pune,2022-06,6808,21.6,36.5,41,100
Pune,2022-07,7167,21.6,36.5,41,100
Pune,2022-08,7505,22.8,39.4,41,100
Pune,2022-09,7535,22,41.4,41,100
Pune,2022-10,7320,20.7,32.3,41,100
Pune,2022-11,7191,22.8,38,41,100
Pune,2022-12,6551,21.3,39.8,41,100
Pune,2023-01,6764,20.4,34.3,41,100
Pune,2023-02,6183,20.5,38.3,41,100
Pune,2023-03,6307,35.2,65.8,41,100
Pune,2023-04,6040,19.2,30.1,41,93.1
Pune,2023-05,6330,20.6,36.8,41,100
