bridge_id,nh_number,state,span_m,year_built,last_inspection,ibms_rating,traffic_pcu,repair_cost_cr
IBMS-10437,NH-33,Andhra Pradesh,300,1963,2023-06-23,62.1,53897,15.09
IBMS-10120,NH-52,Maharashtra,27.4,1980,2022-12-01,36.2,66455,4.53
IBMS-10090,NH-6,Uttar Pradesh,123.5,1995,2023-11-08,72.6,51689,6.57
IBMS-10213,NH-48,Bihar,835.9,1975,2024-05-18,48.1,30843,129.24
IBMS-10184,NH-27,Gujarat,1089.5,2004,2022-06-05,30.7,81511,208.39
IBMS-10055,NH-16,Madhya Pradesh,53.9,1961,2022-01-18,39,28554,9.87
IBMS-10345,NH-30,Gujarat,474.7,1993,2024-03-22,68.4,52082,31.31
IBMS-10025,NH-27,Gujarat,938.3,1973,2023-05-27,20.4,85619,178.51
IBMS-10088,NH-52,Uttar Pradesh,485.2,1972,2022-02-24,67,53592,45.99
IBMS-10020,NH-6,Karnataka,523.8,1979,2022-10-19,65.8,45262,51.72
IBMS-10061,NH-6,Karnataka,203.9,1960,2023-07-14,72.5,49312,6.35
IBMS-10052,NH-52,Bihar,72.8,1967,2025-06-05,44,64833,7.07
IBMS-10280,NH-16,Maharashtra,81.2,1984,2023-11-27,73.3,94801,5.56
IBMS-10469,NH-33,Jharkhand,851.6,1999,2024-11-13,19.9,63784,82.2
IBMS-10015,NH-6,Madhya Pradesh,577.4,1959,2024-04-03,52.7,26653,73.63
IBMS-10009,NH-6,Uttar Pradesh,965.4,1971,2022-09-16,66.3,56900,60.64
IBMS-10291,NH-6,Bihar,894,1998,2024-02-13,52.9,29972,121.06
IBMS-10344,NH-27,Gujarat,857,1962,2023-03-19,56.5,61896,39.26
IBMS-10371,NH-16,Bihar,123.8,1991,2024-12-07,62.5,45377,15.69
IBMS-10245,NH-27,Rajasthan,461.8,1974,2022-07-06,73.7,56075,27.69
IBMS-10231,NH-66,Assam,1017.6,1983,2024-10-04,66.7,28610,111.35
IBMS-10191,NH-44,Assam,237.7,1994,2024-06-25,57.6,59988,14.41
IBMS-10467,NH-19,Odisha,1175.8,1965,2025-02-14,67.4,16293,77.62
IBMS-10352,NH-16,Punjab,209.6,1974,2025-11-09,19,29733,50.88
IBMS-10138,NH-30,Tamil Nadu,202.4,1994,2023-09-10,36.7,12593,15.73
IBMS-10415,NH-48,Madhya Pradesh,307.8,1981,2024-01-11,48.2,91563,21.41
IBMS-10343,NH-30,Gujarat,187.7,1970,2024-12-14,55,42634,26.45
IBMS-10068,NH-33,Jharkhand,359.5,1965,2025-10-24,51.5,45110,46.59
IBMS-10110,NH-6,Assam,251.9,1988,2023-10-11,20.2,30870,38.33
IBMS-10211,NH-19,Bihar,605.8,1968,2025-04-21,66,73405,66.2
IBMS-10220,NH-6,Karnataka,435.2,1998,2024-10-21,44.4,43156,69.32
IBMS-10097,NH-48,Tamil Nadu,513.6,1994,2024-01-23,71,32563,36.63
IBMS-10167,NH-16,Uttar Pradesh,406.4,1984,2022-11-21,57.4,60475,39.11
IBMS-10144,NH-48,Gujarat,217.2,1975,2024-02-20,64,23734,24.04
IBMS-10409,NH-16,Uttar Pradesh,595.4,1993,2024-06-26,73.8,65567,33.32
IBMS-10396,NH-6,Andhra Pradesh,1128.7,2004,2024-04-16,27.6,62697,271.96
IBMS-10232,NH-33,Punjab,406.4,1984,2022-09-07,20.8,6954,53.95
IBMS-10355,NH-27,Kerala,137.3,1958,2025-02-01,72.6,72879,8.12
IBMS-10272,NH-16,Punjab,1049.5,1995,2022-10-04,35.1,5945,109.93
IBMS-10400,NH-33,Maharashtra,375.9,1968,2022-01-22,22.1,38944,99.39
IBMS-10087,NH-48,Uttar Pradesh,24.6,2001,2022-12-14,45,30342,2.81
IBMS-10035,NH-19,Kerala,833.4,1999,2023-03-15,19.3,70161,77.95
IBMS-10054,NH-44,Madhya Pradesh,353.8,1985,2023-10-18,67.3,97548,14.85
IBMS-10206,NH-48,Rajasthan,115.9,1983,2024-10-02,23.1,55064,22.88
IBMS-10410,NH-48,Uttar Pradesh,191.3,1989,2025-09-03,43.2,55680,23.34
IBMS-10342,NH-16,Karnataka,230.4,1995,2023-10-09,70.6,22621,20.18
IBMS-10294,NH-48,Madhya Pradesh,1167.8,1987,2023-09-07,62,95314,80.14
IBMS-10275,NH-16,Kerala,264.4,1999,2024-03-26,63.5,16513,32.44
IBMS-10256,NH-44,Madhya Pradesh,1133.6,1991,2022-08-21,64.8,53511,91.78
IBMS-10354,NH-44,Kerala,579.1,1981,2022-04-01,66.8,31075,50.26
IBMS-10021,NH-30,Karnataka,701.1,1992,2022-05-19,38.4,18452,88.75
IBMS-10484,NH-66,Rajasthan,675.4,2017,2022-04-23,89.2,8201,23.67
IBMS-10346,NH-33,Odisha,135.8,1970,2024-09-04,38.1,31356,16.58
IBMS-10047,NH-30,Uttar Pradesh,638,2001,2025-08-23,60.2,11473,27.58
IBMS-10306,NH-66,Odisha,104.1,1972,2023-11-23,41.5,87614,16.78
IBMS-10359,NH-30,Uttarakhand,465.9,1965,2025-02-03,25.7,68190,32.89
IBMS-10391,NH-27,Assam,296.6,1992,2024-09-20,64.2,32419,23.17
IBMS-10205,NH-19,Rajasthan,221.3,1980,2022-10-17,20.1,31041,54.64
IBMS-10073,NH-19,Punjab,1076.7,1958,2022-05-01,49.3,12568,116.6
IBMS-10336,NH-52,Madhya Pradesh,23,2004,2022-06-28,56.2,63048,2.8
IBMS-10324,NH-52,Rajasthan,714.4,1997,2024-06-06,19.8,54382,167.64
IBMS-10499,NH-27,Tamil Nadu,930.2,2010,2023-12-05,81.3,59690,35.75
IBMS-10044,NH-16,Rajasthan,903.6,1969,2025-10-28,39.2,84944,106.31
IBMS-10132,NH-44,Bihar,361.6,1968,2022-04-24,53.7,51302,49.59
IBMS-10339,NH-27,Tamil Nadu,868.5,1971,2023-03-23,19.3,6145,194.56
IBMS-10465,NH-66,Gujarat,114.8,1983,2024-10-11,52.3,58663,5.1
IBMS-10098,NH-16,Tamil Nadu,1072.9,1965,2023-03-27,46.9,8727,57.37
IBMS-10159,NH-33,Uttarakhand,670.1,1983,2022-08-19,55.5,48461,83.49
IBMS-10133,NH-66,Bihar,873,1970,2022-10-22,40.4,60800,141.42
IBMS-10486,NH-27,Rajasthan,613.4,2013,2023-02-07,91.6,59690,12.73
IBMS-10279,NH-66,Uttarakhand,677.1,1994,2023-08-17,45.2,55010,88.9
IBMS-10470,NH-66,Assam,43.3,1993,2024-10-08,63.2,79445,5.28
IBMS-10208,NH-66,Uttar Pradesh,618.5,1966,2022-11-03,46.3,96360,70.78
IBMS-10094,NH-27,Madhya Pradesh,139.4,1968,2023-10-09,45.8,21187,18.17
IBMS-10330,NH-66,Uttar Pradesh,1175.4,1984,2022-12-22,57.2,31804,98.45
IBMS-10161,NH-52,Maharashtra,984.3,1990,2023-08-04,69.6,50853,86.42
IBMS-10408,NH-6,Uttar Pradesh,498.7,1979,2023-08-27,51.7,38469,58.17
IBMS-10101,NH-52,Karnataka,1052.5,1986,2022-06-08,49.5,31830,153.18
IBMS-10223,NH-33,Gujarat,880.6,1980,2025-11-09,29.5,48981,93.31
IBMS-10312,NH-16,Punjab,1042.2,2001,2023-12-09,30.4,84227,166.62
IBMS-10003,NH-19,Maharashtra,511.4,2001,2022-05-25,56.5,11028,57.26
IBMS-10482,NH-48,Maharashtra,98.2,1998,2024-07-05,87.2,16075,4.23
IBMS-10302,NH-44,Karnataka,1065,1995,2023-06-01,57.5,57090,49.56
IBMS-10176,NH-27,Madhya Pradesh,566.9,1975,2025-07-17,29.1,56589,66.24
IBMS-10474,NH-30,Kerala,375.3,1998,2022-04-26,80.5,6997,21.95
IBMS-10485,NH-52,Rajasthan,1180.3,2004,2025-10-21,92.6,36354,26.67
IBMS-10288,NH-52,Uttar Pradesh,771.8,2000,2023-06-14,36.3,87112,150.29
IBMS-10250,NH-27,Uttar Pradesh,471.9,1985,2025-10-07,52.1,75949,63.59
IBMS-10348,NH-52,Jharkhand,858.6,1965,2024-07-14,48.5,26162,140.92
IBMS-10458,NH-44,Tamil Nadu,167.9,1980,2022-01-27,38.6,66637,25.69
IBMS-10372,NH-48,Bihar,579,1971,2025-05-24,72.6,5637,38.58
IBMS-10130,NH-44,Uttar Pradesh,222,1960,2025-09-05,65.4,28112,24.54
IBMS-10262,NH-30,Karnataka,905,1996,2023-10-23,37.5,36024,189.94
IBMS-10277,NH-16,Andhra Pradesh,186.5,1967,2022-06-07,31.3,26577,18.25
IBMS-10181,NH-16,Karnataka,543.9,1998,2023-10-19,21.1,74798,50.6
IBMS-10221,NH-16,Karnataka,767.4,1983,2024-11-11,18.6,54960,69.15
IBMS-10153,NH-33,Punjab,530,1991,2022-10-19,45.7,63345,72.21
IBMS-10039,NH-52,Uttarakhand,383,1975,2024-12-26,62.6,60628,26.18
IBMS-10230,NH-66,Assam,522,1987,2024-04-03,51.5,12035,42.2
IBMS-10435,NH-48,Kerala,224.6,2004,2024-01-06,20.1,42231,48.72
IBMS-10439,NH-30,Uttarakhand,323,1958,2022-02-08,18.3,26282,57.61
IBMS-10030,NH-52,Assam,161.4,2000,2025-05-08,69.4,75393,13.56
IBMS-10046,NH-33,Rajasthan,34.9,2002,2023-07-03,52.6,74923,2.26
IBMS-10197,NH-30,Andhra Pradesh,574.9,1980,2022-10-22,27.5,56025,83.9
IBMS-10509,NH-48,Jharkhand,218.5,2017,2022-11-01,88.4,61629,2.61
IBMS-10481,NH-19,Maharashtra,728.6,1998,2023-02-11,85.7,85511,14.48
IBMS-10158,NH-44,Chhattisgarh,1188.4,1975,2024-06-16,59.5,5074,124.51
IBMS-10217,NH-19,Tamil Nadu,173.6,1998,2025-10-04,50.5,45946,17.72
IBMS-10248,NH-33,Uttar Pradesh,444.3,1980,2025-01-15,58.9,52912,27.74
IBMS-10155,NH-30,Kerala,734,1990,2024-09-05,71.4,52015,48.85
IBMS-10031,NH-19,Assam,728.5,2003,2023-12-18,29.3,35829,160.9
IBMS-10151,NH-30,Assam,1231.4,1982,2024-11-18,52.6,8942,196.58
IBMS-10466,NH-33,Odisha,670.4,1984,2022-02-05,33.5,92944,95.36
IBMS-10419,NH-66,Tamil Nadu,296,1975,2023-11-20,33.5,30413,36.97
IBMS-10434,NH-27,Kerala,1125.8,1987,2024-03-02,27.5,84656,87.74
IBMS-10042,NH-6,Maharashtra,1229.4,2000,2024-04-23,66.7,5008,66.65
IBMS-10162,NH-66,Maharashtra,579.1,1971,2025-06-03,71.6,84263,39.77
IBMS-10381,NH-30,Karnataka,125,2002,2022-07-07,51.3,44042,19.18
IBMS-10463,NH-6,Gujarat,897.5,1992,2022-07-14,38.2,64443,78.15
IBMS-10072,NH-27,Punjab,1053.4,1972,2023-05-09,31.4,91788,73.85
IBMS-10483,NH-27,Maharashtra,804.1,2021,2025-06-10,86.8,80466,18.55
IBMS-10326,NH-44,Rajasthan,1051.1,1993,2024-04-17,53.9,77900,99.58
IBMS-10507,NH-30,Odisha,541.7,2000,2025-04-27,81.5,70612,16.19
IBMS-10069,NH-19,Jharkhand,419.1,1982,2022-02-17,30.1,55903,95.94
IBMS-10084,NH-16,Rajasthan,1170.3,1988,2022-12-20,64.8,29288,126.3
