district,month,beds_total,beds_occupied,icu_total,icu_occupied,staff_nurses,staff_doctors
Pune,2019-01,2103,1217,122,75,1047,191
Pune,2019-02,2105,1317,122,80,991,173
Pune,2019-03,2107,1192,122,80,1060,276
Pune,2019-04,2109,1417,123,84,858,245
Pune,2019-05,2111,1467,123,93,897,281
Pune,2019-06,2114,1541,123,98,956,152
Pune,2019-07,2116,1622,123,94,707,220
Pune,2019-08,2118,1649,123,104,773,261
Pune,2019-09,2120,1634,124,99,1166,282
Pune,2019-10,2122,1139,124,71,690,238
Pune,2019-11,2124,1511,124,102,1092,151
Pune,2019-12,2126,1255,124,81,940,185
Pune,2020-01,2128,1414,124,94,821,260
Pune,2020-02,2130,1760,125,119,1005,279
Pune,2020-03,2132,1595,125,94,742,215
Pune,2020-04,2135,1947,125,117,805,171
Pune,2020-05,2137,1911,125,114,945,227
Pune,2020-06,2139,1891,125,120,879,293
Pune,2020-07,2141,1969,126,119,1056,274
Pune,2020-08,2143,1863,126,120,1147,165
Pune,2020-09,2145,1917,126,125,1055,281
Pune,2020-10,2147,2126,126,126,1162,215
Pune,2020-11,2149,1724,126,108,692,288
Pune,2020-12,2151,1238,127,80,1088,176
Pune,2021-01,2153,1484,127,95,1033,222
Pune,2021-02,2156,1566,127,97,1151,244
Pune,2021-03,2158,1970,127,127,814,244
Pune,2021-04,2160,1773,127,109,842,181
Pune,2021-05,2162,1747,128,106,804,214
Pune,2021-06,2164,1589,128,104,889,277
Pune,2021-07,2166,2144,128,128,1133,295
Pune,2021-08,2168,2146,128,128,908,269
Pune,2021-09,2170,1713,129,117,929,260
Pune,2021-10,2172,1525,129,91,951,172
Pune,2021-11,2175,1412,129,90,1116,218
Pune,2021-12,2177,1291,129,79,980,207
Pune,2022-01,2179,1473,129,99,778,172
Pune,2022-02,2181,1171,130,78,872,207
Pune,2022-03,2183,1432,130,99,1024,262
Pune,2022-04,2185,1422,130,86,909,173
Pune,2022-05,2187,1791,130,110,1072,219
Pune,2022-06,2189,1591,130,104,968,169
Pune,2022-07,2191,1591,131,103,780,160
Pune,2022-08,2193,1456,131,102,890,289
Pune,2022-09,2196,1623,131,114,1054,292
Pune,2022-10,2198,1801,131,116,776,156
Pune,2022-11,2200,1489,131,104,1131,271
Pune,2022-12,2202,1409,132,98,1123,299
Pune,2023-01,2204,1268,132,86,871,267
Pune,2023-02,2206,1474,132,98,759,263
Pune,2023-03,2208,1288,132,86,903,250
Pune,2023-04,2210,1473,132,97,734,265
Pune,2023-05,2212,1607,133,99,1186,285
Pune,2023-06,2214,2035,133,127,990,303
Pune,2023-07,2217,1848,133,124,876,237
Pune,2023-08,2219,1702,133,120,1061,297
