scheme,department,state,district,fy,allocation_cr,released_cr,spent_cr,beneficiaries,utilisation_pct
Ayushman Bharat PM-JAY,Health & Family Welfare,Punjab,Amritsar,2019-20,773.49,750.49,564.05,491288,72.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Punjab,Amritsar,2020-21,852.26,557.55,420.03,178933,49.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Punjab,Amritsar,2021-22,967.11,962.53,687.84,281327,71.1
Ayushman Bharat PM-JAY,Health & Family Welfare,Punjab,Amritsar,2022-23,1270.64,1116.47,836.02,466499,65.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Punjab,Amritsar,2023-24,1544.26,1263.81,1263.81,549757,81.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Punjab,Amritsar,2024-25,1983.38,1474.11,1288.13,425083,64.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Punjab,Amritsar,2025-26,2573.09,2528.6,2528.6,2159424,98.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Udaipur,2019-20,121.81,100.36,77.9,32329,64
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Udaipur,2020-21,125.27,89.48,87.53,28097,69.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Udaipur,2021-22,140.05,117.67,102.09,83101,72.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Udaipur,2022-23,157.98,135.93,121.7,76549,77
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Udaipur,2023-24,185.57,178.48,161.15,124086,86.8
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Udaipur,2024-25,256.89,256.89,184.82,154879,71.9
Ayushman Bharat PM-JAY,Health & Family Welfare,Rajasthan,Udaipur,2025-26,363.95,311.24,226.87,202141,62.3
Ayushman Bharat PM-JAY,Health & Family Welfare,Tamil Nadu,Madurai,2019-20,918.51,801.43,642.75,221106,70
Ayushman Bharat PM-JAY,Health & Family Welfare,Tamil Nadu,Madurai,2020-21,937.05,797.16,629.69,141051,67.2
Ayushman Bharat PM-JAY,Health & Family Welfare,Tamil Nadu,Madurai,2021-22,1074.54,739.99,465.95,310789,43.4
