city,corridor,month,congestion_index,avg_speed_kmph,incidents
Delhi,Ring Road,2019-01,81.7,19.1,15
Delhi,Ring Road,2019-02,77.8,24.7,28
Delhi,Ring Road,2019-03,77.4,25.9,18
Delhi,Ring Road,2019-04,75.9,25.7,36
Delhi,Ring Road,2019-05,68.9,27.9,16
Delhi,Ring Road,2019-06,66.9,30.8,28
Delhi,Ring Road,2019-07,67.7,32.4,14
Delhi,Ring Road,2019-08,77.7,27.2,20
Delhi,Ring Road,2019-09,76.2,19.5,22
Delhi,Ring Road,2019-10,84.2,21.1,27
Delhi,Ring Road,2019-11,76.3,24.6,19
Delhi,Ring Road,2019-12,88.5,20.5,41
Delhi,Ring Road,2020-01,78.1,24.6,28
Delhi,Ring Road,2020-02,80.4,22.3,24
Delhi,Ring Road,2020-03,74.5,26.9,21
Delhi,Ring Road,2020-04,72.1,24,27
Delhi,Ring Road,2020-05,68.2,28.2,18
Delhi,Ring Road,2020-06,66.8,34.3,25
Delhi,Ring Road,2020-07,70.6,30.5,12
Delhi,Ring Road,2020-08,73.3,24.2,25
Delhi,Ring Road,2020-09,80.8,26.9,16
Delhi,Ring Road,2020-10,76.9,27.3,31
Delhi,Ring Road,2020-11,78.7,23.3,13
Delhi,Ring Road,2020-12,84.5,19.2,38
Delhi,Ring Road,2021-01,77.2,25.8,15
Delhi,Ring Road,2021-02,78.8,23.8,26
Delhi,Ring Road,2021-03,75.8,26.5,13
Delhi,Ring Road,2021-04,70.4,31.5,11
Delhi,Ring Road,2021-05,70,28.4,16
Delhi,Ring Road,2021-06,69.6,26,30
Delhi,Ring Road,2021-07,67.4,30.8,33
Delhi,Ring Road,2021-08,70.6,25.3,34
Delhi,Ring Road,2021-09,80,22.7,20
Delhi,Ring Road,2021-10,76.7,25.9,25
Delhi,Ring Road,2021-11,89.1,19.7,23
Delhi,Ring Road,2021-12,87.5,18.6,40
Delhi,Ring Road,2022-01,88.1,18.6,18
Delhi,Ring Road,2022-02,77.4,23.7,32
Delhi,Ring Road,2022-03,78.5,23.3,29
Delhi,Ring Road,2022-04,74,30.1,35
Delhi,Ring Road,2022-05,78.4,26.1,30
Delhi,Ring Road,2022-06,77.9,23.1,13
Delhi,Ring Road,2022-07,69.4,32,24
Delhi,Ring Road,2022-08,72.1,29.3,28
Delhi,Ring Road,2022-09,81.4,25.7,35
Delhi,Ring Road,2022-10,82.8,22.8,29
Delhi,Ring Road,2022-11,84.4,19,26
Delhi,Ring Road,2022-12,90.8,20.7,18
Delhi,Ring Road,2023-01,91.4,17.2,32
Delhi,Ring Road,2023-02,79.6,24.7,14
Delhi,Ring Road,2023-03,76.4,28.2,24
Delhi,Ring Road,2023-04,81.4,20.6,37
Delhi,Ring Road,2023-05,79.7,28.3,24
Delhi,Ring Road,2023-06,69.3,29.1,17
Delhi,Ring Road,2023-07,78.7,23.3,23
Delhi,Ring Road,2023-08,80.2,24.1,20
Delhi,Ring Road,2023-09,86.1,20,26
Delhi,Ring Road,2023-10,88.9,17,17
Delhi,Ring Road,2023-11,91.6,18.3,36
Delhi,Ring Road,2023-12,92.1,13.8,36
Delhi,Ring Road,2024-01,81.3,23,28
Delhi,Ring Road,2024-02,83.2,25.3,41
Delhi,Ring Road,2024-03,99.5,16.9,23
Delhi,Ring Road,2024-04,78.5,26.2,24
Delhi,Ring Road,2024-05,77.4,22.3,32
Delhi,Ring Road,2024-06,79.5,28.1,32
Delhi,Ring Road,2024-07,71.4,29.1,26
Delhi,Ring Road,2024-08,80.1,20.1,20
Delhi,Ring Road,2024-09,84.4,23.1,32
Delhi,Ring Road,2024-10,86.9,16.2,25
Delhi,Ring Road,2024-11,85.7,17.4,32
Delhi,Ring Road,2024-12,90,17.5,45
Delhi,Ring Road,2025-01,83.1,23.2,21
Delhi,Ring Road,2025-02,80.2,23,39
Delhi,Ring Road,2025-03,87.5,20.1,14
Delhi,Ring Road,2025-04,84.5,19.6,40
Delhi,Ring Road,2025-05,76.6,29,12
Delhi,Ring Road,2025-06,76.6,20.7,29
Delhi,Ring Road,2025-07,73.6,27.5,32
Delhi,Ring Road,2025-08,84,20.3,18
Delhi,Ring Road,2025-09,77.9,26.7,16
Delhi,Ring Road,2025-10,81.1,23,23
Delhi,Ring Road,2025-11,89.7,16.4,30
Delhi,Ring Road,2025-12,91.9,17,34
Delhi,Airport Expressway,2019-01,67.5,28.7,32
Delhi,Airport Expressway,2019-02,73.9,25.2,23
Delhi,Airport Expressway,2019-03,67.8,32.5,16
Delhi,Airport Expressway,2019-04,68.1,30.4,11
Delhi,Airport Expressway,2019-05,64.2,31.8,10
Delhi,Airport Expressway,2019-06,58.2,32.1,13
Delhi,Airport Expressway,2019-07,61,33.3,30
Delhi,Airport Expressway,2019-08,67.8,28.9,16
Delhi,Airport Expressway,2019-09,63.4,29.2,28
Delhi,Airport Expressway,2019-10,74.7,30.5,20
Delhi,Airport Expressway,2019-11,69,30.6,27
