district,month,households_covered,target_households,functional_tap_pct,capex_released_cr,capex_spent_cr
Kanpur Nagar,2019-01,111531,394104,24.6,1.4,0.35
Kanpur Nagar,2019-02,112832,394104,23.9,4.56,0.79
Kanpur Nagar,2019-03,115354,394104,27,5.48,1.29
Kanpur Nagar,2019-04,119689,394104,25.9,11.6,2.58
Kanpur Nagar,2019-05,123669,394104,30.7,18.76,5.35
Kanpur Nagar,2019-06,125206,394104,26.4,25.89,5.78
Kanpur Nagar,2019-07,126112,394104,29.6,26.85,7.98
Kanpur Nagar,2019-08,127491,394104,27,32.85,9.39
Kanpur Nagar,2019-09,129895,394104,27.8,33.82,11.93
Kanpur Nagar,2019-10,132378,394104,27.8,34.39,12.67
Kanpur Nagar,2019-11,136950,394104,32.2,35.08,12.83
Kanpur Nagar,2019-12,138172,394104,34.7,42.02,13.1
Kanpur Nagar,2020-01,139315,394104,30.4,44.7,13.59
Kanpur Nagar,2020-02,141640,394104,30.7,47.03,16.48
Kanpur Nagar,2020-03,144320,394104,32.8,48.58,16.85
Kanpur Nagar,2020-04,146448,394104,34.3,49.93,18.17
Kanpur Nagar,2020-05,150744,394104,35.5,56.94,20.54
Kanpur Nagar,2020-06,153187,394104,38.4,63.56,21.44
Kanpur Nagar,2020-07,154685,394104,34.2,69.02,22.94
Kanpur Nagar,2020-08,158744,394104,35.6,74.82,25.52
Kanpur Nagar,2020-09,162843,394104,35,81.19,27.66
Kanpur Nagar,2020-10,164774,394104,34.5,84.53,29.48
Kanpur Nagar,2020-11,166075,394104,35.3,91.86,30.23
Kanpur Nagar,2020-12,169937,394104,36,98.81,32.77
Kanpur Nagar,2021-01,173720,394104,41.3,105.46,33.63
Kanpur Nagar,2021-02,176006,394104,37.7,108.62,34.48
Kanpur Nagar,2021-03,179119,394104,44.2,112.81,36.41
Kanpur Nagar,2021-04,183178,394104,44.3,120.21,38.15
Kanpur Nagar,2021-05,186291,394104,41.3,127.15,40.34
Kanpur Nagar,2021-06,190981,394104,47.9,132.4,42.03
Kanpur Nagar,2021-07,195316,394104,42.9,138.88,43.9
Kanpur Nagar,2021-08,197089,394104,48.1,143.54,45.73
Kanpur Nagar,2021-09,198390,394104,41.4,144.69,48.18
Kanpur Nagar,2021-10,203080,394104,42.7,147.79,49.97
Kanpur Nagar,2021-11,205011,394104,43.3,151.78,52.95
Kanpur Nagar,2021-12,205878,394104,49.3,158.35,53.73
Kanpur Nagar,2022-01,209937,394104,50.7,159.66,56.16
Kanpur Nagar,2022-02,212065,394104,49,166.56,58.07
Kanpur Nagar,2022-03,213602,394104,52.9,168.25,59.07
Kanpur Nagar,2022-04,217070,394104,48.4,171.38,62.06
Kanpur Nagar,2022-05,218173,394104,45.5,177.51,62.71
Kanpur Nagar,2022-06,220183,394104,47.2,181.36,62.96
Kanpur Nagar,2022-07,224163,394104,55.6,182.7,64.16
Kanpur Nagar,2022-08,228341,394104,56.4,184.26,66.82
Kanpur Nagar,2022-09,229287,394104,51.7,186.14,68.24
Kanpur Nagar,2022-10,230903,394104,48.3,192.34,70.39
Kanpur Nagar,2022-11,232282,394104,54.6,199.33,73.32
Kanpur Nagar,2022-12,234528,394104,51.6,206.18,73.37
Kanpur Nagar,2023-01,239178,394104,53.2,207.19,74.12
Kanpur Nagar,2023-02,240439,394104,56.4,209.46,74.56
Kanpur Nagar,2023-03,241858,394104,57.1,213.85,74.65
Kanpur Nagar,2023-04,245838,394104,53.6,217.51,77.17
Kanpur Nagar,2023-05,247651,394104,57,222,79.41
Kanpur Nagar,2023-06,250173,394104,52.1,226.67,81.32
Kanpur Nagar,2023-07,252301,394104,54.9,229.55,82.34
